022$a	245$a	260$b
2147-9771 (electronic)	Y{uml}onetim bilimleri dergisi	{cedil}Canakkale Onsekiz Mart {uml}Universitesi
2381-4349 (electronic)	Chrysalis	"Chrysalis,"
1806-6690 (electronic)	Ci{circ}encia agron{circ}omica	"Escola de Agronomia da Universidade Federal do Cear{acute}a,"
2225-1154 (electronic)	Climate	"MDPI AG,"
2381-4659 (electronic)	Cloud marauder	"Cloud Marauder Press,"
2381-4853 (electronic)	Clown war	"Bob Heman,"
2381-4896 (electronic)	The Coldspring journal	"Cherry Valley Editions,;Whale Press,;Cherry Valley Editions"
2214-594X (electronic)	Comparative migration studies	"Amsterdam University Press,;Springer"
2220-721X (electronic)	Computational ecology and software	"International Academy of Ecology and Environmental Sciences,"
2381-5620 (electronic)	Conditions	[Conditions]
1338-0540 (electronic)	Contributions to geophysics & geodesy	De Gruyter Open
2381-5647 (electronic)	Country women	[Country Women]
2040-4697 (electronic)	Craft research	"Intellect,"
2381-571X (electronic)	Credences	"Credences Press,;Poetry/Rare Books Collection of the University Libraries, State University of New York at Buffalo"
2256-5442 (electronic)	Cuadernos de geograf{acute}ia	"Departamento de Geograf{acute}ia, Universidad Nacional de Colombia"
2381-5809 (electronic)	Damascus road	"C. Hanna,;Damascus Road Press"
2380-6850 (electronic)	The digital marketing report	"The Joss Group,"
1835-9132 (electronic)	e-Journal of business education & scholarship of teaching	"[e-JBEST],"
2267-1242 (electronic)	E3S web of conferences	"EDP Sciences,"
2381-7984 (electronic)	Earth's daughters	"Earth's Daughters,"
2394-9015 (electronic)	Emerging economy studies	Sage Publications India :;International Management Institute
2224-4263 (electronic)	Environmental skeptics and critics	"the International Academy of Ecology and Environmental Sciences,"
2340-146X (electronic)	"Espacio, tiempo y forma."	"[UNED],"
1896-1525 (electronic)	European spatial research and policy	De Gruyter
2381-8042 (electronic)	Everywoman	Everywoman
2381-8069 (electronic)	Extensions	"Extensions,"
2381-8093 (electronic)	The Feminist art journal	"[Feminist Art Journal, Inc.]"
2469-2816 (electronic)	Fire exit	"New Poet's Theatre,"
2083-5965 (electronic)	Folia Horticulturae	Polish Society for Horticultural Science;De Gruyter Open
2469-2840 (electronic)	FPS	"FPS,;Youth Liberation Press"
2470-783X (electronic)	Freedomways	[Freedomways Associates]
2469-2956 (electronic)	From a window	"Gut Inc.,"
1878-9129 (electronic)	Fungal diversity	Fungal Diversity Press
1947-4776 (electronic)	Gendered perspectives on international development	"Center for Gender in Global Context, WID Program"
1336-8052 (electronic)	Geologica Carpathica	De Bruyter
1573-9708 (electronic)	Geologie en mijnbouw	G.A. Tiesing
2080-6574 (electronic)	Geologos	Instytut Geologii UAM;Versita;De Gruyter Open
2195-478X (electronic)	Geothermal Energy Science	"Copernicus Publications,"
2164-9561 (electronic)	Global advances in health and medicine	"Global Advances in Health and Medicine, LLC,;SAGE"
0017-2197 (electronic)	Good times	"Trystero Co.,"
2470-461X (electronic)	The Guardian	"[publisher not identified];Weekly Guardian Association, Inc.;Redview Communications, Inc.;Institute for Independent Social Journalism"
2469-4789 (electronic)	Hanging loose	"Hanging Loose,"
2469-4819 (electronic)	Head	"Erik Kiviat.,"
1848-0071 (electronic)	The holistic approach to environment	"Association for Promotion of Holistic Approach to Environment,"
2469-4940 (electronic)	How(ever)	"How(ever),"
1814-9596 (electronic)	International journal of agriculture & biology	"Friends Science Publ.,"
2314-4130 (electronic)	International journal of atmospheric sciences	"Hindawi Publishing Corporation,"
2202-946X (electronic)	International journal of kinesiology & sports science	"Australian International Academic Centre,"
2328-9198 (electronic)	International sport coaching journal	"Human Kinetics, Inc.,"
2469-505X (electronic)	Ironwood	"Ironwood Press,"
2194-9050 (electronic)	"ISPRS annals of the photogrammetry, remote sensing and spatial information sciences"	"Copernicus Publications,"
2090-8598 (electronic)	ISRN botany	"Hindawi Publishing Corporation,"
2090-8946 (electronic)	ISRN geophysics	"Hindawi Publishing Corporation,"
2469-5122 (electronic)	Joglars	"[Joglars],"
2319-4316 (electronic)	Journal of applied geochemists	Indian Society of Applied Geochemists
2331-3714 (electronic)	Journal of cave and karst studies	"National Speleological Society,"
2198-2635 (electronic)	The journal of Chinese sociology	"Springer,"
2329-3187 (electronic)	Journal of colorism studies	"The Intraracial Colorism Project, Inc."
2077-1312 (electronic)	Journal of marine science and engineering	"MDPI AG,"
1338-5178 (electronic)	"The journal of microbiology, biotechnology and food sciences"	"Faculty of Biotechnology and Food Sciences,"
2380-0860 (electronic)	Journal of organizational and educational leadership	"Gardner-Webb University, School of Education,"
2058-9158 (electronic)	Journal of reproductive biotechnology & fertility	"SAGE Publications,"
2214-420X (electronic)	Journal of reproductive health and medicine	"Elsevier, a division of Reed Elsevier India, Pvt. Ltd.,"
2115-7251 (electronic)	Journal of space weather and space climate	"EDP Sciences,"
1931-437X (electronic)	Journal of wine economics	"American Association of Wine Economists,"
2169-0812 (electronic)	Journal of world-historical information	"University Library System, University of Pittsburgh"
2377-1208 (electronic)	"Kids, code and computer science magazine"	"Owl Hill Media, LLC,"
2469-7788 (electronic)	Lactuca	"Mike Selender,;Lactuca Publications"
2073-445X (electronic)	Land	"MDPI,"
2469-7893 (electronic)	Laughing bear	"Laughing Bear Press,"
2469-7915 (electronic)	Lesbian connection	Ambitious Amazons
1390-6631 (electronic)	Letras verdes	"Departamento de Desarrollo Ambiente y Territorio, FLACSO Sede Ecuador,"
2469-7966 (electronic)	Leviathan	"V.R.--Leviathan Publications, Inc.,;[V.R.-Leviathan Publications, Inc.]"
2469-9411 (electronic)	The little square review	"The Little Square Review,"
2469-9454 (electronic)	Manroot	"Man-Root,"
2469-9462 (electronic)	Margins	"Monday Morning Press :;Harpoon Press,"
2469-9489 (electronic)	Matter	"Robert Kelly,"
2198-7874 (electronic)	Mechanics of advanced materials and modern processes	"SpringerOpen,"
1066-2707 (electronic)	Meteorological and geoastrophysical abstracts	"American Meteorological Society,"
1899-8526 (electronic)	Mineralogia	Mineralogical Society of Poland;De Gruyter Open
2470-2730 (electronic)	Mother	Mother Press
2196-5404 (electronic)	Nano convergence	"Springer-Verlag, GmbH,;SpringerOpen"
2213-0217 (electronic)	NECSUS	"Amsterdam University Press,"
2573-2285 (electronic)	NEMLA newsletter	"Department of English, State University of New York,"
2220-8879 (electronic)	Network biology	"International Academy of Ecology and Environmental Sciences,"
2470-282X (electronic)	New directions for women	New Directions for Women
2470-2846 (electronic)	New directions for women in New Jersey	"Coordinating Committee of Women's Rights Groups,"
2470-5632 (electronic)	New wilderness letter	"New Wilderness Foundation,"
2573-6787 (electronic)	Newsletter	"The Association of American Library Schools,"
2475-4463 (electronic)	Newsletter	"Dept. of English, University of Connecticut,"
2470-5667 (electronic)	Newspaper	Jack Green
2470-5675 (electronic)	Niagara frontier review	"Frontier Press, Inc.,"
2475-2142 (electronic)	The North Carolina high school bulletin	"University of North Carolina,"
2057-3995 (electronic)	NPJ Regenerative medicine	"Nature Publishing Group, published in partnership with Monash University and Australian Regenerative Medicine Institute,"
2059-0105 (electronic)	NPJ vaccines	"Springer Nature in partnership with the Sealy Center for Vaccine Development,"
2164-6619 (electronic)	Nursing informatics ...	American Medical Informatics Association
2321-3655 (electronic)	Octa journal of environmental research	"Scientific Planet Society,"
2225-4323 (electronic)	OECD review of fisheries.	"OECD Publishing,"
1529-4366 (electronic)	Oil daily	Energy Intelligence Group
2247-0514 (electronic)	On-line journal modelling the new Europe	"Universitatea Babe{commab}s-Bolyai, Facultatea de Studii Europene,"
2470-5713 (electronic)	On our backs	On Our Backs;H.A.F. Enterprises;H.A.F. Publishing
2366-1089 (electronic)	Oncology and therapy	"Springer International Publishing AG,;Adis"
2470-7082 (electronic)	Origin	Cid Corman;National Poetry Foundation
2470-7120 (electronic)	Osawatomie	Weather Underground Organization
2470-7201 (electronic)	The Outsider	"Loujon Press,"
2574-0873 (electronic)	Papers of the American Musicological Society	"American Musicological Society,"
2083-599X (electronic)	Plant breeding and seed science	Plant Breeding and Acclimatization Institute
1479-263X (electronic)	Plant genetic resources	"CABI Pub.,"
2389-7856 (electronic)	Praxis	"Universidad del Magdalena,"
2573-6817 (electronic)	Proceedings of the ... annual session of the Southern Political Science Association	[Southern Political Science Association]
2220-8860 (electronic)	Proceedings of the International Academy of Ecology and Environmental Sciences	"International Academy of Ecology and Environmental Sciences,"
2470-3893 (electronic)	Quest	"Quest :;A feminist quarterly, Inc.,"
2470-3885 (electronic)	Quilt	"Ishmael Reed & Al Young,"
2573-6779 (electronic)	Report of Meeting	"The Association of American Library Schools,"
2197-9847 (electronic)	Research in the mathematical sciences	"SpringerOpen,"
2079-9276 (electronic)	Resources	"MDPI AG,"
1982-7679 (electronic)	Revista Brasileira de agricultura irrigada	"INOVAGRI,"
2177-8736 (electronic)	Revista de gest{tilde}ao	Programa de P{acute}os-gradua{cedil}c{tilde}ao em Administra{cedil}c{tilde}ao da FEA-USP
2317-9937 (electronic)	Revista V{acute}ortex	Universidade Estadual do Paran{acute}a :;Escola de M{acute}usica e Belas Artes do Paran{acute}a.
2452-2198 (electronic)	Rhizosphere	Elsevier B.V.
2197-4225 (electronic)	ROBOMECH journal	"SpringerOpen,"
2374-474X (electronic)	Science and technology for the built environment	"Taylor & Francis Group on behalf of ASHRAE,"
2475-1049 (electronic)	Section of Individual Rights and Responsibilities newsletter	"Section of Individual Rights and Responsibilites, American Bar Association,"
2470-296X (electronic)	Sinister wisdom	"Sinister Wisdom,;Sinister Wisdom;Sinister Wisdom;Sinister Wisdom;Sinister Wisdom;Sinister Wisdom"
2470-2951 (electronic)	Sipapu	"N. Peattie,"
2573-6388 (electronic)	Sumac	"Sumac Press,"
2260-7846 (electronic)	Synergies France	Gerflint
2470-0398 (electronic)	Talisman	"Talisman,"
2470-0347 (electronic)	Tamarisk	Tamarisk Press;Tamarisk Press
2470-0339 (electronic)	Telephone	"Maureen Owen,;Maureen Owen"
2469-9276 (electronic)	Things	"Emmett Jarrett and Ron Schreiber,"
2469-7702 (electronic)	Trobar	"Robert Kelly,"
2469-5106 (electronic)	Up from under	"Up from Under,"
2381-0912 (electronic)	Women	Women :;A Journal of Liberation 
2381-0807 (electronic)	Women's press	Women's Press Collective
2381-0467 (electronic)	Yardbird reader	"Yardbird Pub. Cooperative,"
2573-5438 (electronic)	Journal of transportation engineering.	"American Society of Civil Engineers,"
1560-6074 (electronic)	Research journal of textile and apparel.	Hong Kong Institution of Textile and Apparel.
1708-5284 (electronic)	World journal of engineering.	"Sun Light Publishing Canada,"
0275-2476	Our dumb animals.	Massachusetts Society for the Prevention of Cruelty to Animals.
2083-3563 (electronic)	Annales Universitatis Mariae Curie-Sk{lstrok}odowska.	Uniwersytet Marii Curie-Sk{lstrok}odowskiej;DE GRUYTER OPEN
1677-6976 (electronic)	Caderno virtual de turismo	"Laborat{acute}orio de Tecnologia e Desenvolvimento Social,"
1678-457X (electronic)	Ci{circ}encia e tecnologia de alimentos	SBCTA.
2158-8724 (electronic)	CINEJ cinema journal	"University Library System, University of Pittsburgh,"
2463-6932 (electronic)	The Clutha leader	"William Peter McGirr,;[Fairfax Media]"
1840-3719 (electronic)	Epiphany	"International University of Sarajevo, Faculty of Arts and Social Sciences"
2332-7804 (electronic)	"IEEE transactions on molecular, biological, and multi-scale communications"	"IEEE,"
2055-1169 (electronic)	JFMS open reports	"SAGE Publications Ltd,"
1812-0660 (electronic)	The international economic policy	Kyiv National Economic University
1857-9760 (electronic)	Journal of liberty and international affairs	Institute for Research and European Studies
1885-2211 (electronic)	Marco ELE	Marco ELE
2573-2366 (electronic)	Morbidity and mortality	"National Office of Vital Statistics,"
2164-5876 (electronic)	National Vocational Guidance Association bulletin	"Harvard University Press,"
2056-7936 (electronic)	NPJ science of learning	"published in partnership between Springer Nature, the University of Queensland and the Queensland Brain Institute,"
2410-0854 (electronic)	Paradigms	University of Central Punjab
1981-5271 (electronic)	Revista brasileira de educa{cedil}c{tilde}ao m{acute}edica	Associa{cedil}c{tilde}ao Brasileira de Educa{cedil}c{tilde}ao M{acute}edica
1809-0761 (electronic)	Revista sa{acute}ude.com	"Departamento de Sa{acute}ude, Universidade Estadual do Sudoeste da Bahia"
1813-4424 (electronic)	SAHARA-J	"South African Medical Association, Health and Medical Pub. Group,;Taylor & Francis on behalf of SAHARA, the Social Aspects of HIV/AIDS Research Alliance."
2059-5131 (electronic)	"Scars, burns & healing"	"SAGE Publications,"
2056-3051 (electronic)	Social media + society	"Sage Publications Ltd,"
2205-0795 (electronic)	Student success	"Queensland University of Technology,"
2268-4948 (electronic)	Synergies Portugal	"GERFLINT (Groupe d'Etudes et de Recherches pour le Francais Langue Internationale),"
2160-2379 (electronic)	Tsinghua China law review	"[Joe Christensen, Inc.]"
1573-3084 (electronic)	Variants	Brepols
2405-8106 (electronic)	Water science and engineering	"Hohai University,;Hohai University ;;Elsevier B.V."
2515-8082 (electronic)	World journal of engineering	Sun Light Publishing Canada;Emerald Publishing
2572-1941 (electronic)	Dialogues :	
2376-3639	ACM transactions on modeling and performance evaluation of computing systems.	
2542-3045	Journal of Veterinary Andrology	
2469-7087 (electronic)	ComputingEdge.	
2077-0472 (electronic)	Agriculture	"MDPI AG,"
2376-4481 (electronic)	American journal of medical research	"Addelton Academic Publishers,"
1179-5573 (electronic)	Clinical medicine insights. Psychiatry	Libertas Academica
2331-1932 (electronic)	Cogent food & agriculture	"Taylor & Francis,"
2331-2041 (electronic)	Cogent geoscience	"Cogent OA, an imprint of Taylor & Francis,"
2331-205X (electronic)	Cogent medicine	"Cogent OA, an imprint of Taylor & Francis,"
2331-1908 (electronic)	Cogent psychology	"Cogent OA,"
2084-1892 (electronic)	Current topics in biophysics	Versita;De Gruyter
2059-0784 (electronic)	The educational and developmental psychologist	"Cambridge University Press,"
2304-8158 (electronic)	Foods	"MDPI AG,"
2075-4434 (electronic)	Galaxies	"MDPI AG,"
1802-5420 (electronic)	GeoScience engineering	Vysok{acute}a {caron}skola b{acute}a{caron}nsk{acute}a-TU Ostrava Hornicko-geologick{acute}a fakulta
2377-3782 (electronic)	IEEE transactions on sustainable computing	Institute of Electrical and Electronics Engineers
2502-6747 (electronic)	Indonesian journal of applied linguistics	"Language Center, Universitas Pendidikan Indonesia."
2322-5270 (electronic)	International journal of aquatic biology	"Iranian Society of Ichthyology,"
2202-9478 (electronic)	International journal of education & literacy studies	"Australian International Centre,"
2220-9964 (electronic)	ISPRS international journal of geo-information	"MDPI AG,"
2375-4656 (electronic)	Journal of behavioral health and medicine	"American Psychological Association,"
2195-0164 (electronic)	Journal of Contemporary Drama in English	"De Gruyter,"
2196-6656 (electronic)	Journal of early modern christianity	"De Gruyter,"
1338-4333 (electronic)	Journal of hydrology and hydromechanics	"Institute of Hydrology, Slovak Academy of Sciences;De Gruyter"
2191-0251 (electronic)	Journal of pediatric endocrinology & metabolism	"Freund Pub. House,;Walter de Gruyter"
2587-2478 (electronic)	The journal of pediatric research	"Galenos Yay{inodot}nevi,"
2473-6007 (electronic)	Know	"University of Chicago Press,"
2194-4199 (electronic)	K{uml}olner Schrift zum Wirtschaftsrecht	"De Gruyter,"
1860-7950 (electronic)	Libreas	Institut f{uml}ur Bibliothekswissenschaft
2340-7166 (electronic)	Materiales para la historia del deporte	"Universidad Pablo de Olavide,"
2149-9063 (electronic)	Meandros medical and dental journal	"Adnan Menderes {uml}Universitesi,;Istanbul :"
2055-7434 (electronic)	Microsystems & nanoengineering	Nature Publishing Group
2055-4788 (electronic)	Neuropsychiatric electrophysiology	"BioMed Central,"
2391-5463 (electronic)	Open medicine	"De Gruyter Open,"
2051-5707 (electronic)	Recherche et Applications en Marketing	Association fran{cedil}caise du marketing
2059-3635 (electronic)	Signal transduction and targeted therapy	"Nature Publishing Group,"
2199-398X (electronic)	SOIL	"Copernicus Publications on behalf of the European Geosciences Union,"
2051-3658 (electronic)	Trans-regional and -national studies of Southeast Asia	"Cambridge University Press,"
0896-6648	Motive power review.	
2469-7311	IEEE transactions on radiation and plasma medical sciences.	
2329-924X	IEEE transactions on computational social systems.	
2473-4209 (electronic)	Medical physics	American Association of Physicists in Medicine [by the American Institute of Physics];John Wiley & Sons
2332-7804	"IEEE transactions on molecular, biological, and multi-scale communications"	
2471-2825	IEEE communications standards magazine.	
2365-709X (electronic)	Advanced materials technologies	Wiley Blackwell
1943-4782 (electronic)	Air Force magazine	Air Force Association
1689-0469 (electronic)	Archives of mining sciences	Pa{acute}ntswowe Wydawnictwo Naukowe;De Gruyter
2386-7876 (electronic)	Communication & Society	"Servicio de Publicaciones de la Universidad de Navarra,"
1910-1864 (electronic)	The estate planner	"CCH Canadian Ltd.,"
1617-5239 (electronic)	HiN	"Universit{uml}at Potsdam, Institut f{uml}ur Romanistik,"
2469-7303 (electronic)	IEEE transactions on radiation and plasma medical sciences	"IEEE,"
1532-5644 (electronic)	International journal of research in choral singing	James Daugherty
2380-2138 (electronic)	Journal of forensic accounting research	"American Accounting Association,"
2196-078X (electronic)	Journal of South Asian languages and linguistics	"De Gruyter Mouton,"
2409-7462 (electronic)	Pakistan journal of information management & libraries	"University of Punjab Lahore, Department of Information Management,"
2227-1465 (electronic)	Revista de comunicaci{acute}on	"Facultad de Comunicaci{acute}on, Universidad de Piura,"
1448-6156 (electronic)	Spreadsheets in education	Bond University
2199-6504 (electronic)	Topics in linguistics	"Department of English and American Studies, Faculty of Arts, Constantine the Philosopher University in Nitra."
2147-2270 (electronic)	{uml}Uroonkoloji b{uml}ulteni	"Galenos Publishing House,"
2475-0123 (electronic)	Vegetarian today	Cruz Bay Publishing
2159-1210 (electronic)	SIGBioinformatics record	Association for Computing Machinery
2378-962X (print)	ACM transactions on cyber-physical systems.	
1754-7083 (electronic)	Design and culture	"Berg Publishers,;[Bloomsbury Publishing, Plc.]"
2350-417X (electronic)	Acta neophilologica	"Izdaja Filozofska fakulteta univerze v Ljubljani,;Published by the Faculty of Arts, University of Ljubljana, Slovenia, with the support of the Ministry of Science, Schooling and Sport of the Republic of Slovenia;Faculty of Arts, Znanstveni in{caron}stitut Filozofske fakultete (The Scientific Institute of the Faculty of Arts), University of Ljubljana;Znanstvena zalo{caron}zba Filozofske fakultete Unverze v Ljubljani (Ljubljana University Press, Faculty of Arts)"
2374-2267 (electronic)	Anthropology & aging	"University Library System, University of Pittsburgh,"
2057-0082 (electronic)	Archives of physiotherapy	"BioMed Central Ltd,"
2167-8677 (electronic)	Dentistry 3000	"University Library System, University of Pittsburgh,"
2084-4549 (electronic)	Ecological chemistry and engineering.	Versita;De Gruyter
2346-562X (electronic)	Eesti Haridusteaduste Ajakiri	"Tartu {uml}Ulikooli Kirjastus,"
2046-7443 (electronic)	"Families, relationships and societies"	The Policy Press
2380-6834 (electronic)	Healio rheumatology	Slack Incorporated
2471-965X (electronic)	Hungarian cultural studies	"University Library System, University of Pisttsburgh ;;American Hungarian Educators' Association,"
2469-7257 (electronic)	"IEEE journal of electromagnetics, RF and microwaves in medicine and biology"	"IEEE,"
2309-575X (electronic)	Investigaciones europeas de direcci{acute}on y econom{acute}ia de la empresa	Academia Europea de Direcci{acute}on y Econom{acute}ia de la Empresa
2410-6887 (electronic)	Journal of genes and cells	DiscoverSys
1925-198X (electronic)	Molecular entomology	Biopublisher
2329-5902 (electronic)	Process cooling	"BNP Media, LLC,"
1806-9460 (electronic)	S{tilde}ao Paulo medical journal	Associa{cedil}c{tilde}ao Paulista de Medicina
2331-9291 (electronic)	SIGBio record	"ACM Special Interest Group,"
2469-3995 (electronic)	Vetted	"UBM Life Sciences,"
1754-7075 (print)	Design and culture :	"Berg Publishers,"
1474-1032 (electronic)	VINE	Southhampton University Library
1944-8783 (electronic)	The Electrochemical Society interface.	"Electrochemical Society,"
1534-1585	Energy :	"Thomson Gale,"
1543-5407	National security.	"Gale Group,"
1554-4397	Electronic America.	"Thomson Gale,"
1935-1216 (print)	Child abuse and domestic violence.	Thomson Gale
2254-4143 (electronic)	3c tecnolog{acute}ia	"{acute}Area de Innovaci{acute}on y Desarrollo, Place of publication not identified,"
2254-6529 (electronic)	3C TIC	"{acute}Area de Innovaci{acute}on y Desarrollo, S.L.,"
2191-4664 (electronic)	ABI-Technik	De Gruyter
1309-1581 (electronic)	AJIT-e	AJIT-e
2027-7822 (electronic)	Acta odontol{acute}ogica colombiana	"Universidad Nacional de Colombia,"
2076-0825 (electronic)	Actuators	"MDPI AG,"
2192-8584 (electronic)	Advanced optical technologies	"Walter de Gruyter GmbH & Co. KG,"
1804-3119 (electronic)	Advances in electrical and electronic engineering	"Faculty of Electrical Engineering, University of {caron}Zilina,;VSB-Technical University of Ostrava, together with the Faculty of Electrical Engineering, University of Zilina"
2083-4799 (electronic)	Advances in materials science	"Gda{acute}nsk Scientific Society,"
2226-4310 (electronic)	Aerospace	"MDPI AG,"
2150-9956 (electronic)	ALN world	Vicon Pub.
2157-9644 (electronic)	American journal of engineering education	Clute Institute
2321-1733 (electronic)	Angewandten Biologie Forschung	"CTBScience,"
2083-358X (electronic)	Annales Universitatis Mariae Curie-Sk{lstrok}odowska.	Versita;De Gruyter Open
2300-7559 (electronic)	Annales Universitatis Mariae Curie-Sk{lstrok}odowska.	Uniwersytet Marii Curie-Sk{lstrok}odowskiej
2083-3628 (electronic)	Annales Universitatis Mariae Curie-Sk{lstrok}odowska.	Uniwersytet Marii Curie-Sk{lstrok}odowskiej
2344-4592 (electronic)	Archiva zootechnica	Insitute of Biology and Animal Nutrition
2300-262X (electronic)	Archives of Acoustics	De Gruyter
2300-3103 (electronic)	Archives of civil engineering	De Gruyter Open
2300-2611 (electronic)	Archives of control sciences	De Gruyter Open
2300-1909 (electronic)	Archives of metallurgy and materials	Polish Academy of Sciences
2218-2004 (electronic)	Atoms	"MDPI AG,"
2205-0140 (electronic)	Australasian journal of ultrasound in medicine	[Australasian Journal of Ultrasound in Medicine (ASUM)];[Minnis Journals];John Wiley & Sons Australia
2255-8950 (electronic)	Baltic journal of modern computing	University of Latvia 
0974-8369 (electronic)	Biology and medicine	Biology and Medicine Journal
2227-9059 (electronic)	Biomedicines	"MDPI AG,"
2193-066X (electronic)	Bionanomaterials	"De Gruyter,"
1980-4415 (electronic)	Boletim de educa{cedil}c{tilde}ao matem{acute}atica	"UNESP, Departamento de Matem{acute}atica"
1981-1640 (electronic)	Brazilian journal of information science	"Universidade Estadual Paulista, Departamento de Ci{circ}encia da Informa{cedil}c{tilde}ao :;[2006]-"
2227-9040 (electronic)	Chemosensors	"MDPI AG,"
2227-9075 (electronic)	Chromatography	"MDPI AG,"
2422-278X (electronic)	Ciudad pazando	"Universidad Distrital Francisco Jos{acute}e de Caldas,;Universidad Distrital Francisco Jos{acute}e de Caldas, Instituto para la Pedagog{acute}ia, la Paz y el Conflicto Urbano"
2331-2025 (electronic)	Cogent biology	"Cogent OA, an imprint of Taylor & Francis,"
2331-2009 (electronic)	Cogent chemistry	"Taylor & Francis,"
2331-1916 (electronic)	Cogent engineering	"Cogent OA, an imprint of Taylor & Francis,"
2331-1835 (electronic)	Cogent mathematics	"Cogent OA, an imprint of Taylor & Francis,"
2331-1940 (electronic)	Cogent physics	"Cogent OA, an imprint of Taylor & Francis,"
2320-0790 (electronic)	COMPUSOFT	"COMPUSOFT,"
2079-3197 (electronic)	Computation	"MDPI AG,"
2194-4164 (electronic)	Computer law review international	"De Gruyter,"
2073-431X (electronic)	Computers	"MDPI AG,"
2196-9523 (electronic)	Conceptus	De Gruyter
1848-2295 (electronic)	Conference proceedings	"Faculty of Organization and Informatics,"
2073-4352 (electronic)	Crystals	"MDPI Pub.,"
2304-6767 (electronic)	Dentistry journal	"MDPI AG,"
1662-9507 (electronic)	Diffusion and defect data.	"Trans Tech Publications,;Scitec;Trans Tech Publications"
2166-5052 (electronic)	Disaster health	"Landes Bioscience,"
1618-7229 (electronic)	E-Polymers	"European Polymer Federation,;De Gruyter"
2079-9292 (electronic)	Electronics	"MDPI AG,"
2329-8766 (electronic)	Energy harvesting and systems	"Walter de Gruyter GmbH,"
2105-0716 (electronic)	EPJ photovoltaics	"EDP Sciences,"
1802-2170 (electronic)	Ergo	Versita;De Gruyter Online
2267-3059 (electronic)	ESAIM.	EDP Sciences
2300-7591 (electronic)	Fatigue of aircraft structures	De Gruyter Open
2194-4156 (electronic)	Finanz-Rundschau Ertragsteuerrecht	Schmidt
2050-5086 (electronic)	"Forum of mathematics, pi"	"Cambridge University Press,"
2050-5094 (electronic)	"Forum of mathematics, sigma"	"Cambridge University Press,"
2255-5684 (electronic)	GECONTEC	"Universidad Pablo de Olavide,"
